OBJECTID_1,Name,County,Address,City,ZIP,Source,Type,Subtype,PhotoURL,created_user,created_date,last_edited_user,last_edited_date,x,y
105,Redoubt Garden at ACFB,Fulton,Joseph E. Lowery Blvd,Atlanta,0,ACFB,Garden,Community,,,,SDE,06/14/2016 15:39:02,-84.41941539,33.77414298
106,Adamsville Community Garden,Fulton,Delmar Lane,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.49960624,33.75695147
107,Albert T. Mills Enrichment Center,Fulton,Lakewood Avenue,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.37976538,33.7057429
108,Good Things Garden,DeKalb,Rupert Road,Decatur,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.27485248,33.75180811
109,Frazer Center,DeKalb,Ponce de Leon Avenue,Atlanta,0,ACFB,Garden,Therapy,,,,SDE,01/30/2015 21:10:09,-84.32733299,33.76895739
110,Peachtree Hills Park Community Garden,Fulton,Peachtree Hills Avenue NE,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.37701334,33.81820845
111,Atwood Street Garden,Fulton,Atwood Street SW,Atlanta,0,ACFB,Garden,Community,AtwoodStreetGarden.jpg,,,SDE,06/14/2016 15:48:46,-84.42953902,33.73371306
112,Frances Smith Stone Mountain Community Garden,DeKalb,Venable Street,Stone Mountain,0,,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.16703934,33.80326699
113,Stone Mountain VFW Park Community Garden,DeKalb,Gordon Street,Stone Mountain,0,ACFB_UGA Cooperative Extension,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.17747208,33.80496065
114,Smokerise Community Garden,DeKalb,Hugh Howell Road,Stone Mountain,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.19251804,33.84976981
115,Boulevard Community Garden,Fulton,Boulevard,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.3709733,33.77257998
116,Veranda at Carver Senior Residences Community Garden,Fulton,Thirkeld Avenue,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.38913943,33.71631498
117,Birch Grove Apartment Garden - Global Growers,DeKalb,Cedar Creek Parkway,,0,Global Growers Network,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.26397062,33.80943978
118,Blue Heron Nature Preserve Community Garden,Fulton,Roswell Road,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.38063588,33.86775067
119,Metro Atlanta Urban Farm,Fulton,Main Street,College Park,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.4462516,33.66687828
120,Metro Atlanta Urban Farm,Fulton,Main Street,College Park,0,ACFB_ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.44618335,33.66687558
121,Patchwork City Farms at Brown Middle School,Fulton,765 Peeples Street SW,Atlanta,0,ACFB_ALFI,Garden,Community,PatchworkCityFarms.jpg,,,SDE,06/14/2016 15:52:50,-84.42174075,33.73487583
122,Patchwork City Farms at Brown Middle School,Fulton,Peeples Street,Atlanta,0,ACFB_ALFI,Garden,School,PatchworkCityFarms.jpg,,,SDE,06/14/2016 16:13:30,-84.42160522,33.73487611
123,Brownwood Park Community Garden,Fulton,Pendleton Street,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.3465887,33.73748749
124,Meadowbrook Community Garden,DeKalb,Bobbie Lane,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.26047009,33.75899201
125,East Lake Senior Tower,DeKalb,380 E Lake Blvd SE,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.31409221,33.74120221
126,Cabbagetown Community Garden,Fulton,Berean Avenue SE,Atlanta,0,Park Pride,Garden,Community,,,,SDE,06/15/2016 19:42:27,-84.36652596,33.75013543
127,Canterbury Court Retirement Community,Fulton,Peachtree Road NE,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.35159876,33.85723785
128,Canton Community Victory Garden,Cherokee,Big Oak Drive,,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.44653246,34.23344498
129,Capitol Avenue High Rise Community Garden,Fulton,Hank Aaron Drive,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.38851731,33.73259036
130,Capitol View Community Garden,Fulton,Athens Avenue SW,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.40914013,33.71454511
131,Cardinal Lake Community Garden,Gwinnett,Cardinal Lake Circle NW,Duluth,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.12819145,33.98104622
132,Carl Rhodenizer Recreation Center Community Garden,Clayton,Rex Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.2773374,33.58840024
133,Green Meadows Community Garden,Cobb,Old Hamilton Road,Marietta,0,Cobb Master Gardeners,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.6626553,33.95284947
134,Crossroads Community Garden Project,Cobb,Post Oak Tritt Road NE,,0,Cobb Master Gardeners,Garden,Donation,,,,SDE,01/30/2015 21:10:09,-84.43177134,34.01508954
135,Plant-A-Row Project at Fountain Gate Counseling Center,Cobb,Cherokee Street,Kennesaw,0,Cobb Master Gardeners,Garden,Donation,,,,SDE,01/30/2015 21:10:09,-84.6105197,34.02684423
136,Anderson Park Community Garden,Fulton,Calloway Drive,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.45583703,33.75634535
137,Lovejoy City Garden,Clayton,North Steele Drive,Lovejoy,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.3066042,33.43287409
138,Lovejoy City Garden,Clayton,North Steele Drive,Lovejoy,0,ACFB,Garden,Donation,,,,SDE,01/30/2015 21:10:09,-84.30651083,33.4328742
139,Briarwood Park Community Garden,DeKalb,Briarwood Park Road,Brookhaven,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.32878242,33.84974804
140,Charley Griswell Senior Community Garden,Clayton,Highway 138,,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.3133773,33.52838019
141,Unity Garden at Chattahoochee Nature Center,Fulton,Willeo Road,Roswell,0,ACFB,Garden,Donation,,,,SDE,01/30/2015 21:10:09,-84.38379395,34.0047002
142,Cherokee County Community Garden,Cherokee,Univeter Road,,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.49485858,34.19512063
143,Christ UMC Roswell,Fulton,Woodstock Road,Roswell,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.3996426,34.06014464
144,Little Nancy Creek Community Garden,Fulton,Peachtree-Dunwoody Road NE,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.35814792,33.86384307
145,Clarkston Community Center,DeKalb,College Avenue,Clarkston,0,Global Growers Network,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.2367859,33.80489106
146,City of Refuge,Fulton,Andrews Street NW,Atlanta,0,ACFB_ALFI,Garden,Community,CityofRefugeGarden.jpg,,,SDE,06/14/2016 15:58:42,-84.43013586,33.76101813
147,Mattie Freeland Community Garden,Fulton,Echo Street,Atlanta,0,ARC,Garden,Community,MattieFreelandCommunityGarden.jpg,,,SDE,06/14/2016 16:01:36,-84.41062874,33.7708148
148,College Heights Early Learning Center Garden,DeKalb,South McDonough Street,Decatur,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.29761385,33.75786398
149,Cosby Spear Memorial Tower Community Garden,Fulton,355 North Avenue,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.3758118,33.77075682
150,Collier Heights Park Community Garden,Fulton,Collier Drive NW,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.5068727,33.76915941
151,Kirkwood Urban Forest and Community Garden,DeKalb,Dixie Street SE,Atlanta,0,ACFB_ALFI_Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.32833035,33.74889792
152,East Lake Urban Farm,DeKalb,2nd Avenue,Atlanta,0,ALFI_GO,Farm,Unclassified,,,,SDE,07/07/2016 20:27:09,-84.30995506,33.75072574
153,Four Corners Park Community Garden,Fulton,Hank Aaron Drive SW,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.38826173,33.725717
154,Gilliam Park Community Garden,DeKalb,Wade Avenue,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.33188963,33.75552678
155,Garden Isaiah,Fulton,Spalding Drive,Sandy Springs,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.33219446,33.97496703
156,I.T. and Lodemia Terrell Community Center Garden,Cobb,Owens Drive,Austell,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.63656014,33.82049879
157,Harvest Farm at White Street Park,Gwinnett,White Street,Suwannee,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.07641757,34.04746327
158,Brightside at Oakleaf Mennonite Farm,DeKalb,Bouldercrest Drive,Atlanta,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.33117821,33.7244683
159,Atlanta Tapestry Community Garden,Fulton,E. Confederate Avenue,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.36042806,33.72773085
160,Truly Living Well - Harbin Road,Fulton,Harbin Road,Atlanta,0,ACFB_ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.48089931,33.70504537
161,Mableton Community Garden,Cobb,Nickajack Park Road SE,,0,ARC,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.50689,33.81781785
162,Outdoor Activity Center,Fulton,Richarland Road SW,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:09,-84.43483251,33.73071351
163,Good Shepherd Community Garden,Fulton,445 Lawton Street,Atlanta,0,ACFB_ALFI,Garden,Community,GoodShepherdCommunityGarden.jpg,,,SDE,06/14/2016 15:47:59,-84.4240805,33.74257968
164,Rose Circle Park Community Garden,Fulton,Joseph E. Lowery Blvd,Atlanta,0,ACFB_ALFI,Garden,Community,RoseCircleParkCommunityGarden.jpg,,,SDE,06/14/2016 15:50:56,-84.41792286,33.73152781
