OBJECTID_1,Name,County,Address,City,ZIP,Source,Type,Subtype,PhotoURL,created_user,created_date,last_edited_user,last_edited_date,x,y
224,KIPP Strive Academy Urban Orchard,Fulton,Lucile Avenue SW,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,06/14/2016 15:05:20,-84.43500931,33.74237801
225,Kenari Company Farm,Fulton,Hightower Road,Roswell,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.38105546,34.01830982
226,Joyful Noise Acres Farm,Cherokee,Allison Lane,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.40769903,34.29237802
227,Jonathan Toenneges Farm,Henry,Asa Moseley Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.13357294,33.56068584
228,Jolly Avenue - Global Growers,DeKalb,Jolly Avenue,,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.24065124,33.79847045
229,Jamos Organics,Gwinnett,Monfort Road NW,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.03114173,33.94438681
230,Hometown Honey,Cobb,Knightsbridge Road NW,Kennesaw,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.62132191,34.02999829
231,Heritage Village Garden - Henry Gardens,Henry,Lake Dow Road,McDonough,0,Community Gardens of Henry County,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.12094763,33.4412515
232,Harnett/ Oakland City Community Garden,Fulton,Bridges Avenue,Atlanta,0,GO,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.43331549,33.72681426
233,Rosa Burney - HABESHA,Fulton,Fulton Street SW,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.39957842,33.74163067
234,Gribow Acres,Gwinnett,Indian Trail Drive,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.19635452,33.87066126
235,Grady High School Orchard,Fulton,Monroe Drive,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.36946883,33.78071192
236,Green Ola Acres,Henry,N Ola Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.03658783,33.47151344
237,Decatur Kitchen Garden - Global Growers,DeKalb,S. Columbia Drive,Decatur,0,Global Growers Network,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.27908621,33.76845407
238,Galactic Farms,Fulton,Rivertown Road,Chattahoochee Hills,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.72190605,33.60205814
239,Gaia Gardens/ Love is Love Farm,DeKalb,Dancing Fox Road,,0,ALFI_GO,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.30619624,33.73737087
240,Freehome Garden,Cherokee,Trinity Church Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.31534755,34.22432693
241,Forty Oaks - Global Growers,DeKalb,Holly Hedge Road,,0,Global Growers Network,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.22903328,33.80156574
242,Finca La Bella Farm,Henry,Benton Fields,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.26648146,33.49301783
243,Fathers Boundary,Cherokee,Evans Cook Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.41901843,34.22987001
244,Fairywood Thicket Farm,Fulton,Cochran Mill Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.68368923,33.63227987
245,Education Garden at Piedmont Park,Fulton,Monroe Drive,Atlanta,0,ARC,Garden,Education,,,,SDE,01/30/2015 21:10:10,-84.3710626,33.7851039
246,East of Eden,Cobb,Hayden Brook Drive,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.70719835,34.00114513
247,Drew Charter School Orchard,DeKalb,E Lake Blvd SE,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.31444405,33.74482827
248,Dillwood Farms,Gwinnett,Old Loganville Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-83.9412234,33.83386509
249,Decimal Place Farm,Clayton,Almach Avenue,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.33024391,33.63747235
250,Dances with Bees,Gwinnett,Kimberly Lane,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.19873094,33.92597605
251,Crim High School Orchard,DeKalb,Memorial Drive SE,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.33103058,33.74699681
252,Crawford Long Middle School Orchard,Fulton,Latona Drive,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.39458967,33.66717517
253,Cobb Senior Center - Austell Neighborhood Center,Cobb,Austell - Powder Springs Road,Austell,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.6554155,33.83599574
254,Cloud Cattle Farm,Cherokee,Providence Drive,Holly Springs,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.45869097,34.19245481
255,Circle B Ranch,Cherokee,Jack Page Lane,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.37897581,34.25567191
256,Cagles Farm,Cherokee,Hickory Road,Holly Springs,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.44146759,34.16879189
257,Burgess Peterson Academy Orchard,DeKalb,Glenwood Avenue,Atlanta,0,GO,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.33083517,33.74073618
258,Burgess Peterson Academy Orchard,DeKalb,Glenwood Avenue,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.33083239,33.74068035
259,Brooks Garcia Farm,Cobb,Florence Road,Powder Springs,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.70420597,33.88636821
260,Brookhaven/ DeKalb Service Center,DeKalb,Peachtree Road,Brookhaven,0,GO,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.33821656,33.86422842
261,Bray Family Farms,Cobb,Oglesby Road,Powder Springs,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.68053878,33.842664
262,Boulevard Heights Community Garden,Fulton,Schuyler Avenue SE,Atlanta,0,ACFB_ALFI,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.36639267,33.72486146
263,Besmaid Garden Essentials,DeKalb,Maplewood Drive,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.21607532,33.72946916
264,Bamboo Creek Farm - Global Growers,DeKalb,Big Valley Way,,0,Global Growers Network,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.20160638,33.73929154
265,Atlanta Fire Station #29 Orchard,Fulton,Monroe Drive,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.36913039,33.81067291
266,Atlanta Fire Station #27 Orchard,Fulton,Northside Drive NW,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.4085874,33.87101964
267,Atlanta Fire Station #25 Orchard,Fulton,Benjamin E. Mays Drive,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.46450496,33.72293344
268,Atlanta Fire Station #13 Orchard,DeKalb,Metropolitan Avenue SE,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.34768944,33.74198417
269,Atlanta Fire Station #10 Orchard,Fulton,Boulevard SE,Atlanta,0,ALFI,Orchard,Unclassified,,,,SDE,02/05/2015 17:47:06,-84.36848285,33.74228877
270,Atlanta Botanical Gardens,Fulton,Piedmont Avenue,Atlanta,0,ALFI,Garden,Education,,,,SDE,01/30/2015 21:10:10,-84.37503456,33.78952783
271,Applewood Towers II Community Garden,Gwinnett,Grayson Highway,Lawrenceville,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-83.98166399,33.94553635
272,Abundant Harvest Gardens,Douglas,Cowan Mill Road,,0,ALFI,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.79923647,33.71128506
273,7th Day Adventist Community Garden (Berean Academy),Fulton,Hamilton E Holmes Dr NW,Atlanta,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.46926607,33.76582191
274,Atlanta Mission Urban Garden,Fulton,Ivan Allen Jr Blvd NW,Atlanta,0,GO,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.39115754,33.76504003
275,Buckhead Men's Garden Club,Fulton,W Paces Ferry,Atlanta,0,GO,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.38625119,33.84185063
276,Poncey Highland Community Garden (Freedom Park),Fulton,Freedom Parkway,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.35842465,33.77008646
277,Grove Park Community Garden,Fulton,Hortense Place,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.44111108,33.77499671
278,Selena S. Butler Community Garden,Fulton,Wm Holmes Borders Sr. Drive SE,Atlanta,0,Park Pride,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.37608443,33.7527263
279,Woodstock Community Garden,Cherokee,Dobbs Road,Woodstock,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.5164125,34.1045671
280,Wonderland Gardens,DeKalb,Rainbow Drive,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.25766565,33.71098823
281,Windy Hill Community Garden,Henry,Windy Hill Road,McDonough,0,Community Gardens of Henry County,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.15863779,33.4342516
282,Hooten Street Garden,Henry,Hooten Street,McDonough,0,Community Gardens of Henry County,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.13980534,33.44433803
283,Cubihatcha Plot,Henry,Collins Road,,0,Community Gardens of Henry County,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.13811652,33.31917779
284,West End - Mother Clyde Community Garden,Fulton,Oak Street,Atlanta,0,ACFB,Garden,Community,MotherClydeCommunityGarden.jpg,,,SDE,06/14/2016 15:49:32,-84.43077639,33.74042033
285,Northside Shepherd Senior Center/ Vivian T. Minor Adult Daycare Community Garden,Fulton,1705 Commerce Drive,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.41051992,33.80074522
286,Marietta Homeless Authority,Cobb,1712 Oak Street SE,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.54653981,33.91161221
287,Mableton Community Garden,Cobb,5239 Floyd Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.57633339,33.8276773
288,Peachtree City Community Garden,Fayette,Kelly Drive,Peachtree City,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.57394653,33.3836114
289,Tobie Grant Community Garden,DeKalb,Tobie Circle,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.25659539,33.79291628
290,Tanyard Creek Community Garden,DeKalb,Oakland Street and Northern Avenue,Decatur,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.30492419,33.77768231
291,Peachcrest Senior Center,DeKalb,Sherrydale Lane,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.24658855,33.74631289
292,Magnolia Circle Senior Garden,DeKalb,Dash Lewis Drive,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.26703431,33.71071467
293,Honeysuckle Park Community Garden,DeKalb,Pleasant Valley Drive,Doraville,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.26121024,33.90662796
294,Spruill Center Community Garden,DeKalb,Ashford Dunwoody Road at Meadow Lane,Dunwoody,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.33671767,33.93130241
295,South Bend Park Community Garden,Fulton,Compton Drive,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.38373526,33.70059817
296,St. Patrick's Episcopal Church/ Malachi's Garden,DeKalb,4755 North Peachtree Road,Dunwoody,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.29395415,33.93405099
297,Scottdale Senior Center Community Garden,DeKalb,3262 Chapel Street,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.25598717,33.78743417
298,St. Peter Claver School,DeKalb,2560 Tilson Road,,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.29193262,33.72819386
299,Community Life at Brookside Park Apartments,Fulton,2000 Rambling Drive SW,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.40629445,33.70095814
300,Rosalynn Apartments Community Garden,DeKalb,2198 Dresden Drive,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.29988232,33.86721084
301,Catholic Church of the Most Blessed Sacrament,Fulton,2971 Butner Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.54773822,33.67850902
302,Riverview Landing Community Garden,Cobb,6269 Riverview Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.5028159,33.8007235
303,Renfroe Middle School,DeKalb,220 West College Avenue,Decatur,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.29852037,33.76744052
304,Decatur High School Community Garden,DeKalb,West College Avenue,Decatur,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.29869925,33.76955122
305,Rainbow Heights CPACS Garden,Gwinnett,2165 Ross Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.07982064,33.83291112
306,Oglethorpe University,DeKalb,Peachtree Road NE,Brookhaven,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.3317224,33.87576221
307,Parkview Neighborhood Community Garden,Gwinnett,4875 Lilburn Stone Mountain Road,Lilburn,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.13035286,33.8714264
308,Dunwoody Community Garden,DeKalb,Brook Run Avenue,Dunwoody,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.30081977,33.93215254
309,Parkview Community Garden at DeKalb Memorial Park,DeKalb,Wilkinson Drive,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.32947938,33.74304387
310,Oakhurst Elementary School,DeKalb,175 Mead Road,Decatur,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.30598494,33.76373803
311,North Springs United Methodist Church,Fulton,7770 Roswell Road,Sandy Springs,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.36325036,33.96782485
312,Super Giant Food Urban Health Initiative Community Garden,Fulton,2176 Donald Lee Hollowell NW,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.45719808,33.77547411
313,Mary Lin Elementary School,DeKalb,586 Candler Park Drive NE,Atlanta,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.34021853,33.76957577
314,Atlanta Harm Reduction Coalition,Fulton,472 Paines Avenue NW,Atlanta,0,ACFB,Garden,Community,AtlantaHarmReductionGarden.jpg,,,SDE,06/14/2016 16:02:37,-84.41474826,33.76753036
315,Marian Road Senior High Rise,Fulton,760 Sidney Marcus Blvd NW,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.36280534,33.82617635
316,Macland Road Presbyterian Church,Cobb,3615 Macland Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.65844703,33.89857894
317,Skyland Trail,DeKalb,1903 North Druid Hills Road NE,Brookhaven,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.3423951,33.83517668
318,Lou Walker Senior Garden,DeKalb,2538 Panola Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.16453603,33.71403051
319,Lost Corner Park Community Garden,Fulton,Brandon Mill Road and Riverside Drive,Sandy Springs,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.38554113,33.9537524
320,Loring Heights Community Garden,Fulton,426 Deering Road,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.40182063,33.79569683
321,QLS Haven & Garden Apartments,Fulton,1840 & 1870 Campbellton Road,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.44832237,33.70977848
322,North Gwinnett Church,Gwinnett,4963 West Price Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.0705042,34.08949184
323,Georgia Citizens Coalition on Hunger,Fulton,9 Gammon Avenue,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.38934606,33.71714067
324,Holy Comforter Episcopal Church,Fulton,737 Woodland Avenue SE,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.35215341,33.73427232
325,High Meadows School,Fulton,1055 Willeo Road,Roswell,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.39330989,34.01412552
326,Heavenly Harvest Garden - Decatur First UMC,DeKalb,300 E Ponce de Leon Avenue,Decatur,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.29220662,33.77603721
327,First St Peter AME Church,DeKalb,1074 S Indian Creek Drive,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.22348619,33.76634514
328,First St Paul AME Church,DeKalb,2687 Klondike Road,Lithonia,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.1098817,33.70620115
329,First Existentialist Church,DeKalb,470 Candler Park Drive,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.33965836,33.76698096
330,First African Presbyterian Church- Creation Care Community Garden of Eden,DeKalb,5197 Salem Road,Lithonia,30038,ACFB,Garden,Community,,,,SDE,04/24/2015 14:27:27,-84.17645079,33.67805864
331,English Avenue Urban Farm,Fulton,North Avenue and Joseph E. Lowery Blvd,Atlanta,0,ACFB,Farm,Unclassified,EnglishAvenueUrbanFarm.jpg,,,SDE,06/14/2016 16:03:59,-84.41718356,33.77018211
332,Johns Creek Community Garden,Fulton,Old Alabama Road,Johns Creek,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.26886774,34.02043383
333,Edgewood Community Learning Garden,DeKalb,Hardee Street and Mayson Avenue,Atlanta,0,ACFB,Garden,Education,,,,SDE,01/30/2015 21:10:10,-84.33840416,33.75519758
334,Edgewood Court Residential Association,DeKalb,1572 Hardee Street,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.33646771,33.75551837
335,East Roswell Community Garden,Fulton,Fouts Road,Roswell,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.29554956,34.0009791
336,Douglas Senior Services,Douglas,8750 Dorris Road,Douglasville,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.72710427,33.74534252
337,Decatur Christian Tower,DeKalb,1438 Church Street,Decatur,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.28835292,33.78975798
338,Lanier Community Garden,Gwinnett,2601 Buford Dam Road,Buford,0,ACFB,Garden,Community,,,,SDE,11/10/2015 22:29:07,-84.00341994,34.14380766
339,Fayette Senoir Services Therapeutic Garden,Fayette,4 Center Drive,Fayetteville,0,ACFB,Garden,Therapy,,,,SDE,01/30/2015 21:10:10,-84.44848002,33.44163862
340,Creek Park Community Garden,Fulton,Creel Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.48380716,33.56753597
341,Dog Head Farm,Fulton,Birch Street SW,Atlanta,0,ACFB,Farm,Unclassified,,,,SDE,02/05/2015 17:47:44,-84.4243897,33.70588062
342,Covenant House,Fulton,1559 Johnson Road NW,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.43737089,33.78827105
343,Auburn Neighborhood Senior Center,Fulton,300 Edgewood Avenue SE,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.37741175,33.75478254
344,Emmaus House,Fulton,1017 Hank Aaron Drive SE,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.38833288,33.72678444
345,The Friends School of Atlanta,DeKalb,S Columbia Drive,Decatur,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.27691085,33.7615616
346,Gary Pirkle Park Community Garden,Gwinnett,Suwanee Dam Road at Austin Garner Road,Sugar Hill,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.07014615,34.13144101
347,Historic Westside Gardens,Fulton,"Joseph E Boone, Elm Street and Sunset Avenue",Atlanta,0,ACFB,Farm,Unclassified,"HistoricWestisdeGardens.jpg
HistoricWestsideGardens.jpg",,,SDE,06/14/2016 16:04:24,-84.40901644,33.76258399
348,GLEN Project,Fulton,Vine Street and Delbridge Street,Atlanta,0,ACFB,Garden,Community,GLENProject.jpg,,,SDE,06/14/2016 16:05:24,-84.40802031,33.75742586
349,Grant Park Community Garden,Fulton,Grant Street SE,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.37654373,33.72800489
350,Omenala Griot - HABESHA,Fulton,337 Dargan Place SW,Atlanta,0,ACFB,Garden,Community,OmenalaGriot.jpg,,,SDE,06/14/2016 15:53:43,-84.42451681,33.74583912
351,Yule Forest,Henry,Hwy 155,,0,ARC,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.13901926,33.54639988
352,Adams Farm,Fayette,Hwy 54,,0,ARC,Farm,Unclassified,,,,SDE,02/05/2015 17:47:45,-84.52583469,33.44442304
353,Ashview Urban Farm,Fulton,Holderness Street SW,Atlanta,0,ACFB,Farm,Unclassified,AshviewUrbanFarm.jpg,,,SDE,06/14/2016 15:53:08,-84.42666569,33.7504908
354,Darnell Center,Fulton,Fairburn Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.49940096,33.7742754
355,Alice Williams Towers,DeKalb,5480 Hillandale Drive,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.16270749,33.70668363
356,Healthy Belvedere Community Garden,DeKalb,1679 Columbia Drive,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.25491616,33.74152457
357,Georgia Gwinnett College,Gwinnett,1000 University Center Lane,Lawrenceville,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.00257763,33.97651871
358,Glory Garden at Spring Park,DeKalb,1301 Oakview Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.30529116,33.75660644
359,Woodward Academy,Fulton,Cambridge Avenue,College Park,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.44270762,33.66218091
360,Allegre Pointe Senior Community Garden,DeKalb,Flat Shoals Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.2755422,33.70444946
361,A. Phillip Randolph Elementary School,Fulton,Hwy 166,,0,ACFB,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.56088728,33.70479437
362,Villages at Carver Community Garden,Fulton,Pryor Road,Atlanta,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.39262021,33.71579092
363,Hunter Hills Community Garden,Fulton,Troy and Boone,Atlanta,0,ACFB,Garden,Community,HunterHillsCommunityGarden.jpg,,,SDE,06/14/2016 16:06:28,-84.42715438,33.7640644
364,Ujima Garden,DeKalb,1634 South Hairston Road,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.19581726,33.74604098
365,Hometown Harvest,DeKalb,4080 Bancroft Circle,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.22173487,33.85070287
366,Douglas County Master Gardeners,Douglas,6770 Selman Drive,Douglasville,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.7512685,33.74403252
367,Dunaire Parke,DeKalb,671 Chevoit Drive,,0,ACFB,Garden,Community,,,,SDE,01/30/2015 21:10:10,-84.2356942,33.77706174
368,God's Garden,Cherokee,Sixes Road near the Cherokee Aquatics Center,,0,ACFB,Garden,Donation,,,,SDE,01/30/2015 21:10:10,-84.51922449,34.14961225
369,Good Samaritan Health Center,Fulton,Donald Lee Hollowell Pkwy,,0,ARC,Garden,Donation,,,,SDE,01/30/2015 21:10:10,-84.42005787,33.77439849
370,Hawk Hollow Garden,DeKalb,2304 1st Avenue,,0,ALFI,Garden,Education,,,,SDE,01/30/2015 21:10:10,-84.31169746,33.75483559
371,Sugar Creek Garden,DeKalb,415 East Lake Drive,,0,ALFI,Garden,Education,,,,SDE,01/30/2015 21:10:10,-84.31000041,33.75946965
372,Chattahoochee High School,Fulton,5230 Taylor Road,Johns Creek,0,ALFI,Garden,School,,,,SDE,01/30/2015 21:10:10,-84.2083833,34.04893531
373,State Bridge Crossing Elementary School,Fulton,State Bridge Road,Johns Creek,,ALFI,Garden,School,,SDE,01/28/2015 21:33:11,SDE,01/30/2015 21:10:10,-84.19826292,34.02146128
374,East Atlanta Village Learning Garden,DeKalb,Stokeswood Avenue,Atlanta,,ALFI,Garden,Education,,SDE,01/28/2015 21:46:41,SDE,01/30/2015 21:10:10,-84.34458566,33.73862884
375,Arcadia Community Garden,DeKalb,737 Arcadia Avenue,,,ALFI,Garden,Community,,SDE,01/28/2015 21:56:16,SDE,01/30/2015 21:10:10,-84.27970797,33.77344471
376,Georgia Avenue Senior Tower,Fulton,174 Georgia Avenue,Atlanta,,ALFI,Garden,Community,,SDE,01/28/2015 21:59:04,SDE,01/30/2015 21:10:10,-84.38202373,33.73726643
377,Open Hand Garden,Fulton,181 Armour Drive NE,Atlanta,,ALFI,Garden,Education,,SDE,01/28/2015 22:03:04,SDE,01/30/2015 21:10:10,-84.38242,33.8085897
378,Inman Middle School,Fulton,Park Drive at Virginia Avenue,Atlanta,,ALFI,Garden,Education,,SDE,01/28/2015 22:09:10,SDE,01/30/2015 21:10:10,-84.36333672,33.7822765
379,Morningside Community Garden,Fulton,Hillpine Drive at the Georgia Power lines,Atlanta,,ALFI,Garden,Community,,SDE,01/28/2015 22:12:47,SDE,01/30/2015 21:10:10,-84.36498537,33.79289838
380,Wonderoot Community Garden,Fulton,982 Memorial Drive,Atlanta,,ALFI,Garden,Community,,SDE,01/30/2015 11:57:46,SDE,01/30/2015 21:10:10,-84.35531347,33.74669969
381,3x3 Project,Fulton,307 Walker Street SW,Atlanta,,ALFI,Garden,Community,,SDE,01/30/2015 12:12:31,SDE,01/30/2015 21:10:10,-84.4037152,33.74658264
382,Lake Laura Gardens,Cobb,2430 Burnt Hickory Road NW,,,,Farm,Unclassified,,SDE,01/30/2015 12:16:46,SDE,02/05/2015 17:47:45,-84.62237467,33.96633003
383,Mabry Farms Apiary,Cobb,Wesley Chapel Road,,,ARC,Farm,Unclassified,,SDE,01/30/2015 12:25:24,SDE,02/05/2015 17:47:45,-84.43463757,34.05701494
384,Monastery of the Holy Spirit,Rockdale,2625 Highway 212,,,ARC,Farm,Unclassified,,SDE,01/30/2015 12:40:08,SDE,02/05/2015 17:47:44,-84.06515301,33.59024077
385,My Dad and Me Family Farm,Cobb,3698 Velma Drive,,,ARC,Farm,Unclassified,,SDE,01/30/2015 12:43:29,SDE,02/05/2015 17:47:44,-84.6566079,33.90756775
