x,y,Record_ID,Name,Address,Additonal_Address,City,State,ZIP,Zip4,County,Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-9353233.935,4009079.08105374,250288,DOLLAR GENERAL  1520,2326 Henry Clower Blvd,,Snellville,GA,30078,3108,GWINNETT,Other,33.852989,-84.02153,,,2680
-9416012.562,4040926.03683281,244306,KROGER  291,6199 Highway 92,Ste 176,Acworth,GA,30102,2346,CHEROKEE,Super Store,34.090244,-84.58548,,,2939
-9372952.959,3996925.45710145,244536,DOLLAR GENERAL  7901,4733 Redan Rd,,Stone Mountain,GA,30088,4541,DEKALB,Other,33.762272,-84.198669,,,2955
-9398482.971,4016262.60962079,234363,PUBLIX 541,6300 POWERS FERRY ROAD,,ATLANTA,GA,30339,    ,FULTON,Supermarket,33.906563,-84.428009,,,3010
-9420085.742,4031585.2268785,267153,DOLLAR GENERAL  1757,2768 Cobb Pkwy NW,,Kennesaw,GA,30152,3438,COBB,Other,34.020725,-84.62207,,,3110
-9402230.096,4033837.26306157,268428,PUBLIX 0033,3605 Sandy Plains Rd,Ste 200,Marietta,GA,30066,3066,COBB,Supermarket,34.037491,-84.46167,,,3135
-9403091.264,4001240.9920968,267925,Doo Drop Inn Marketplace & Beauty Supply Inc.,1431 Hollywood Rd NW,,Atlanta,GA,30318,3808,FULTON,Convenience Store,33.794495,-84.469406,,,3283
-9341117.031,4029240.44428932,268028,PUBLIX 0803,720 DACULA RD,,DACULA,GA,30019,    ,GWINNETT,Supermarket,34.003265,-83.912682,,,3290
-9403933.729,4062722.59644049,272193,PUBLIX  624,1451 Riverstone Pkwy,,Canton,GA,30114,5624,CHEROKEE,Supermarket,34.252243,-84.476974,,,3480
-9381476.581,3990997.13875375,272251,CVS Pharmacy 4530,2458 Candler Rd,,Decatur,GA,30032,6411,DEKALB,Other,33.717987,-84.275238,,,3567
-9379318.541,4007790.58835718,268813,KROGER  212,3959 Lavista Rd Ste A,,Tucker,GA,30084,5152,DEKALB,Super Store,33.843376,-84.255852,,,3573
-9412699.36,4043855.39388503,236799,KROGER 463,2295 TOWNE LAKE PKWY,,WOODSTOCK,GA,30189,    ,CHEROKEE,Super Store,34.112034,-84.555717,,,3896
-9397327.92,4052392.74436212,236815,Publix 711,6175 Hickory Flat Hwy,Ste 140,Canton,GA,30115,7210,CHEROKEE,Supermarket,34.175507,-84.417633,,,3899
-9393353.146,4018264.38011749,238012,KROGER 467,227 SANDY SPRINGS PL,,SANDY SPRINGS,GA,30328,    ,FULTON,Super Store,33.921486,-84.381927,,,4192
-9349503.842,4029478.66079104,237460,KROGER 424,1475 BUFORD DR,,LAWRENCEVILLE,GA,30043,    ,GWINNETT,Super Store,34.005039,-83.988022,,,4559
-9436123.096,3991168.71377398,237610,KROGER  366,3251 Highway 5,,Douglasville,GA,30135,2305,DOUGLAS,Super Store,33.719269,-84.766136,,,4700
-9412697.69,4019922.61540269,288162,LE MARCHE,796 Sandtown Rd SW,,Marietta,GA,30008,3046,COBB,Other,33.933846,-84.555702,,,4765
-9410808.821,4014701.06152039,287312,WALGREENS  5901,2390 S Cobb Dr SE,,Smyrna,GA,30080,1359,COBB,Other,33.89492,-84.538734,,,4840
-9363551.248,4050667.21777381,238945,PUBLIX 0026,1735 BUFORD HWY,,CUMMING,GA,30041,    ,FORSYTH,Supermarket,34.162682,-84.114212,,,4843
-9419898.948,4000417.21466493,227189,KROGER  376,630 Thornton Rd,,Lithia Springs,GA,30122,1518,DOUGLAS,Super Store,33.788345,-84.620392,,,4984
-9410494.678,3940780.42894801,231681,Publix 0799,1200 1200 Hwy 74 S,Ste 20,Peachtree City,GA,30269,    ,FAYETTE,Supermarket,33.341949,-84.535912,,,5089
-9382655.454,4036139.86134501,260544,PUBLIX 556,11800 HAYNES BRIDGE RD,Ste 100,ALPHARETTA,GA,30004,    ,FULTON,Supermarket,34.05463,-84.285828,,,5208
-9413568.209,3998712.38424018,260862,QUIKTRIP 742,291 Six Flags Dr,,Austell,GA,30168,7326,COBB,Convenience Store,33.775616,-84.563522,,,5233
-9350288.533,4035713.00114071,227570,QUIK TRIP 785,2900 Buford Dr,,Buford,GA,30519,6537,GWINNETT,Convenience Store,34.051453,-83.995071,,,5415
-9416805.825,4037121.41834725,232056,PUBLIX 146,4430 Wade Green Rd NW,Ste 100,Kennesaw,GA,30144,1267,COBB,Supermarket,34.061935,-84.592606,,,5426
-9399136.082,3993762.99410783,263927,KROGER  412,590 Cascade Ave SW,,Atlanta,GA,30310,2467,FULTON,Super Store,33.738651,-84.433876,,,5625
-9388224.323,4002857.77712798,259742,QUIKTRIP 745,1836 Briarcliff Rd NE,,Atlanta,GA,30329,4008,DEKALB,Convenience Store,33.806564,-84.335854,,,5734
-9442233.868,4005026.44096261,258656,INGLES MARKETS 414,1817 Dallas Nebo Rd,,Douglasville,GA,30134,4865,DOUGLAS,Supermarket,33.82275,-84.82103,,,5758
-9404938.499,4040432.86589931,259000,KROGER 419,12050 Highway 92,Ste 112,Woodstock,GA,30188,4287,CHEROKEE,Super Store,34.086575,-84.486,,,5936
-9385282.26,4010690.40360087,310656,CVS Pharmacy 2526,3615 Clairmont Rd NE,,Atlanta,GA,30319,3627,DEKALB,Other,33.865009,-84.309425,,,6040
-9388135.045,4004217.79998677,311296,The Kosher Gourmet,2153 Briarcliff Rd NE,,Atlanta,GA,30329,3449,DEKALB,Other,33.816715,-84.335052,,,6106
-9379339.692,3968624.3809466,310031,ALDI 76064,5420 N Henry Blvd,,Stockbridge,GA,30281,3223,HENRY,Supermarket,33.550655,-84.256042,,,6202
-9397096.932,4002162.35345263,249731,KROGER  346,1715 Howell Mill Rd NW,,Atlanta,GA,30318,3113,FULTON,Super Store,33.801373,-84.415558,,,6249
-9393728.626,4036881.02647615,309207,Publix 626,885 Woodstock Rd,Ste 100,Roswell,GA,30075,2276,FULTON,Supermarket,34.060146,-84.3853,,,6391
-9343931.522,4041320.42766115,279100,KROGER  494,3300 Hamilton Mill Rd,,Buford,GA,30519,4080,GWINNETT,Super Store,34.093178,-83.937965,,,6622
-9412761.365,4036167.00250954,277199,PUBLIX 0764,4290 BELLS FERRY RD,,KENNESAW,GA,30144,    ,COBB,Supermarket,34.054832,-84.556274,,,6667
-9362548.26,3988389.70111171,1597958,Mall Parkway Food Mart,7655 Mall Pkwy,,Lithonia,GA,30038,2535,DEKALB,Convenience Store,33.698502,-84.105202,,,6768
-9360712.935,4062813.50364172,279398,INGLES MARKETS  456,2835 Keith Bridge Rd,,Cumming,GA,30041,3936,FORSYTH,Supermarket,34.252918,-84.088715,,,6820
-9369782.579,4027211.24013392,280774,PUBLIX 0726,3870 Peachtree Industrial Blvd,,Duluth,GA,30096,    ,GWINNETT,Supermarket,33.988152,-84.170189,,,6941
-9383647.422,4016120.83698362,233532,CVS Pharmacy 4505,5764 Peachtree Industrial Blvd,,Chamblee,GA,30341,1908,DEKALB,Other,33.905506,-84.294739,,,7161
-9390551.346,3977575.91566823,290742,CVS Pharmacy 2184,1029 Forest Pkwy,,Forest Park,GA,30297,2350,CLAYTON,Other,33.617645,-84.356758,,,7215
-9378068.312,4015693.65191725,314109,Quik Trip 707,4086 Pleasantdale Rd,,Atlanta,GA,30340,3544,DEKALB,Convenience Store,33.902321,-84.244621,,,7355
-9381603.93,4001206.16453581,314205,WALGREENS  5759,585 Dekalb Industrial Way,,Decatur,GA,30033,7428,DEKALB,Other,33.794235,-84.276382,,,7367
-9395098.524,4037148.69622503,314429,Target Store 1761,1135 Woodstock Rd,,Roswell,GA,30075,2231,FULTON,Super Store,34.062138,-84.397606,,,7386
-9414745.412,4018657.45135104,1588100,1175 Chevron Mini Mart LLC,1175 Powder Springs St,,Marietta,GA,30064,3925,COBB,Convenience Store,33.924416,-84.574097,,,7612
-9417962.546,3998307.67657518,233141,Walmart Supercenter 3205,1100 Thornton Rd,,Lithia Springs,GA,30122,2616,DOUGLAS,Super Store,33.772594,-84.602997,,,7775
-9368677.622,4017151.91422758,293906,CVS Pharmacy 7633,1190 Indian Trail Lilburn Rd,,Norcross,GA,30093,4594,GWINNETT,Other,33.913193,-84.160263,,,7856
-9361016.949,4028357.44839354,273438,KROGER  476,6555 Sugarloaf Pkwy,Ste 200,Duluth,GA,30097,4929,GWINNETT,Super Store,33.996689,-84.091446,,,8156
-9403913.358,4010660.23948997,273665,Walgreen 19823,2498 Cumberland Pkwy SE,,Atlanta,GA,30339,4502,COBB,Other,33.864784,-84.476791,,,8173
-9398477.071,4008544.79404337,274353,PUBLIX  0720,1250 W Paces Ferry Rd NW,,Atlanta,GA,30327,2306,FULTON,Supermarket,33.849003,-84.427956,,,8242
-9396811.508,3970838.03309272,274607,Flowers Bakery Outlet 176,6866 Highway 85,,Riverdale,GA,30274,2319,CLAYTON,Convenience Store,33.567226,-84.412994,,,8263
